name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Phoenix,Arizona,33.448,-112.073,2025-08-09,109.6,86.9,14.5,0.0,26,1673164
Phoenix,Arizona,33.448,-112.073,2025-08-10,105.8,84.7,17.0,0.0,26,1673164
Phoenix,Arizona,33.448,-112.073,2025-08-11,106.5,86.4,13.0,0.0,32,1673164
Phoenix,Arizona,33.448,-112.073,2025-08-12,111.4,89.4,13.2,0.0,22,1673164
Providence,Rhode Island,41.824,-71.413,2025-08-06,74.7,62.1,7.2,0.0,83,194706
Providence,Rhode Island,41.824,-71.413,2025-08-07,80.4,61.9,6.9,0.0,69,194706
Providence,Rhode Island,41.824,-71.413,2025-08-08,80.2,56.1,10.3,0.0,72,194706
Providence,Rhode Island,41.824,-71.413,2025-08-09,83.5,57.4,8.5,0.0,66,194706
Providence,Rhode Island,41.824,-71.413,2025-08-10,86.5,59.2,9.8,0.0,79,194706
Providence,Rhode Island,41.824,-71.413,2025-08-11,88.0,64.8,8.9,0.0,78,194706
Providence,Rhode Island,41.824,-71.413,2025-08-12,89.2,70.3,10.5,0.0,62,194706
Frankfort,Kentucky,38.201,-84.873,2025-08-06,85.1,66.7,4.7,0.0,81,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-07,84.7,68.2,2.5,0.08,82,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-08,85.5,68.7,5.1,0.0,77,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-09,87.8,69.3,7.2,0.0,71,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-10,86.4,69.8,5.1,0.08,76,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-11,90.9,69.1,4.9,0.0,72,28610
Frankfort,Kentucky,38.201,-84.873,2025-08-12,89.2,72.0,9.4,0.08,83,28610
Nashville,Tennessee,36.166,-86.784,2025-08-06,88.5,74.3,4.9,0.19,69,704963
Nashville,Tennessee,36.166,-86.784,2025-08-07,87.8,72.7,3.6,0.0,70,704963
Nashville,Tennessee,36.166,-86.784,2025-08-08,91.0,73.9,6.9,0.0,69,704963
Nashville,Tennessee,36.166,-86.784,2025-08-09,95.5,75.6,8.5,0.0,62,704963
Nashville,Tennessee,36.166,-86.784,2025-08-10,93.4,76.3,7.6,0.0,62,704963
Nashville,Tennessee,36.166,-86.784,2025-08-11,92.8,75.9,6.3,0.0,66,704963
Nashville,Tennessee,36.166,-86.784,2025-08-12,83.5,76.8,8.3,0.12,79,704963
Sacramento,California,38.582,-121.493,2025-08-06,99.3,55.8,12.8,0.0,55,535798
Sacramento,California,38.582,-121.493,2025-08-07,100.6,60.8,13.2,0.0,50,535798
Sacramento,California,38.582,-121.493,2025-08-08,106.0,61.5,10.7,0.0,44,535798
Sacramento,California,38.582,-121.493,2025-08-09,107.6,66.7,14.3,0.0,40,535798
Sacramento,California,38.582,-121.493,2025-08-10,108.7,64.0,13.2,0.0,42,535798
Sacramento,California,38.582,-121.493,2025-08-11,106.0,63.7,14.3,0.0,41,535798
Sacramento,California,38.582,-121.493,2025-08-12,99.7,57.0,14.1,0.0,60,535798
Columbus,Ohio,39.961,-82.999,2025-08-06,83.8,61.7,5.6,0.0,73,933263
Columbus,Ohio,39.961,-82.999,2025-08-07,82.6,68.2,6.5,0.0,77,933263
Columbus,Ohio,39.961,-82.999,2025-08-08,87.3,68.0,7.2,0.0,72,933263
Columbus,Ohio,39.961,-82.999,2025-08-09,91.0,69.3,7.6,0.0,69,933263
Columbus,Ohio,39.961,-82.999,2025-08-10,88.9,71.2,6.0,0.0,67,933263
Columbus,Ohio,39.961,-82.999,2025-08-11,90.7,68.9,4.9,0.0,64,933263
Columbus,Ohio,39.961,-82.999,2025-08-12,90.3,71.6,7.8,0.09,73,933263
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-06,72.7,69.1,8.3,0.0,76,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-07,78.6,65.7,8.5,0.0,75,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-08,81.5,62.4,7.8,0.0,71,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-09,84.0,58.8,6.3,0.0,69,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-10,88.0,59.2,6.0,0.0,67,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-11,89.2,62.2,6.9,0.0,59,50649
Harrisburg,Pennsylvania,40.274,-76.885,2025-08-12,90.9,69.8,7.6,0.0,75,50649
Concord,New Hampshire,43.208,-71.538,2025-08-06,71.6,62.4,7.8,0.0,72,44674
Concord,New Hampshire,43.208,-71.538,2025-08-07,77.4,58.5,6.5,0.0,71,44674
Concord,New Hampshire,43.208,-71.538,2025-08-08,80.4,57.6,9.8,0.0,62,44674
Concord,New Hampshire,43.208,-71.538,2025-08-09,84.0,61.3,6.9,0.0,59,44674
Concord,New Hampshire,43.208,-71.538,2025-08-10,86.7,59.9,3.4,0.0,73,44674
