name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Trenton,New Jersey,40.217,-74.743,2025-08-07,77.7,67.8,12.3,0.0,74,91193
Trenton,New Jersey,40.217,-74.743,2025-08-08,81.9,60.8,10.3,0.0,69,91193
Trenton,New Jersey,40.217,-74.743,2025-08-09,84.2,61.7,8.9,0.0,64,91193
Concord,New Hampshire,43.208,-71.538,2025-08-03,84.7,57.6,6.0,0.0,61,44674
Concord,New Hampshire,43.208,-71.538,2025-08-04,88.3,65.1,4.9,0.0,61,44674
Concord,New Hampshire,43.208,-71.538,2025-08-05,78.1,66.2,6.7,0.0,69,44674
Concord,New Hampshire,43.208,-71.538,2025-08-06,71.6,62.4,7.8,0.0,72,44674
Concord,New Hampshire,43.208,-71.538,2025-08-07,77.4,58.5,6.5,0.0,71,44674
Concord,New Hampshire,43.208,-71.538,2025-08-08,80.4,57.6,9.8,0.0,62,44674
Concord,New Hampshire,43.208,-71.538,2025-08-09,84.0,61.3,6.9,0.0,59,44674
Hartford,Connecticut,41.764,-72.686,2025-08-03,86.2,60.4,8.5,0.0,63,122129
Hartford,Connecticut,41.764,-72.686,2025-08-04,91.9,65.3,7.8,0.0,60,122129
Hartford,Connecticut,41.764,-72.686,2025-08-05,87.1,68.0,7.4,0.0,66,122129
Hartford,Connecticut,41.764,-72.686,2025-08-06,77.5,65.7,5.4,0.0,76,122129
Hartford,Connecticut,41.764,-72.686,2025-08-07,83.3,66.4,4.3,0.0,57,122129
Hartford,Connecticut,41.764,-72.686,2025-08-08,82.8,60.1,10.5,0.0,64,122129
Hartford,Connecticut,41.764,-72.686,2025-08-09,85.3,60.6,8.5,0.0,58,122129
Springfield,Massachusetts,42.101,-72.59,2025-08-03,84.7,57.4,5.4,0.0,70,154888
Springfield,Massachusetts,42.101,-72.59,2025-08-04,90.3,63.1,4.0,0.0,66,154888
Springfield,Massachusetts,42.101,-72.59,2025-08-05,85.3,66.9,6.7,0.0,73,154888
Springfield,Massachusetts,42.101,-72.59,2025-08-06,78.4,63.5,3.6,0.0,76,154888
Springfield,Massachusetts,42.101,-72.59,2025-08-07,82.2,64.0,3.4,0.0,61,154888
Springfield,Massachusetts,42.101,-72.59,2025-08-08,81.9,59.9,8.5,0.0,65,154888
Springfield,Massachusetts,42.101,-72.59,2025-08-09,84.4,60.1,5.4,0.0,59,154888
